Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses,,,,
719,40909,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,90,130,100,220,89,777,130,24,94,912,36,,,,
970,40909,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,80,110,80,190,83,623,107,27,68,912,39,,,,
970,40909,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,140,110,240,95,821,139,26,101,910,38,,,,
303,40909,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,30,50,30,80,44,623,56,14,30,910,26,,,,
303,40909,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,60,90,70,150,54,456,80,15,54,904,26,,,,
720,40909,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,130,80,210,72,558,108,23,53,904,55,,,,
970,40909,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,160,110,300,170,1091,171,47,99,902,72,,,,
719,40909,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,50,80,20,130,63,435,87,57,0,902,87,,select whole row after first element select hit ctrl+shift+down arrow,,
970,40909,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,70,40,120,60,336,80,19,33,890,47,,,,
719,40909,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,40,70,20,110,58,338,72,22,17,890,55,,,,
303,40909,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,50,70,40,120,64,965,76,19,36,882,40,,COUNT PROFIT,,
217,40909,Central,Major Market,Colombian,Beans,Coffee,Illinois,Regular,150,210,130,360,144,862,201,47,111,882,90,,4248,,
309,40909,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,100,140,100,240,95,608,139,30,87,842,52,,,,
309,40909,Central,Major Market,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,370,260,640,234,1310,312,77,203,842,109,,COUNTA,counts every thing even text,
630,40909,Central,Major Market,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,270,180,530,228,1459,228,63,140,815,88,,4248,,
312,40909,Central,Major Market,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,70,120,100,190,89,777,130,24,95,796,35,,,,
630,40909,Central,Major Market,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,90,60,160,83,623,107,27,68,793,39,,,,
773,40909,Central,Major Market,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,120,100,200,95,821,139,26,101,790,38,,COUNT BLANKS,,counts no of blanks
217,40909,Central,Major Market,Darjeeling,Leaves,Tea,Illinois,Regular,40,70,50,110,54,456,80,15,53,790,27,,0,,
708,40909,Central,Major Market,Earl Grey,Leaves,Tea,Illinois,Regular,60,90,40,150,72,558,108,23,54,786,54,,,,
319,40909,Central,Small Market,Amaretto,Beans,Coffee,Iowa,Regular,10,30,20,40,18,821,27,5,11,765,16,,COUNTIF,conditional,
641,40909,Central,Small Market,Colombian,Beans,Coffee,Iowa,Regular,20,40,20,60,28,965,34,8,5,759,29,,967,,"COUNTIF(range, "">100condition"")"
712,40909,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Iowa,Decaf,20,30,20,50,23,623,31,7,12,759,19,,,,
563,40909,Central,Small Market,Caffe Mocha,Beans,Espresso,Iowa,Regular,10,40,30,50,17,777,26,4,11,759,15,,8,"COUNTIF(SALES, "">900"")",
563,40909,Central,Small Market,Decaf Espresso,Beans,Espresso,Iowa,Decaf,10,40,30,50,17,777,26,4,10,759,16,,,,
641,40909,Central,Small Market,Chamomile,Leaves,Herbal Tea,Iowa,Decaf,200,280,200,480,234,1310,312,77,202,756,110,,,,
563,40909,Central,Small Market,Lemon,Leaves,Herbal Tea,Iowa,Decaf,80,120,90,200,95,608,139,30,86,756,53,,,,
712,40909,Central,Small Market,Darjeeling,Leaves,Tea,Iowa,Regular,190,210,140,400,228,1459,228,63,141,749,87,,,,
319,40909,Central,Small Market,Earl Grey,Leaves,Tea,Iowa,Regular,210,270,160,480,245,1419,301,93,175,749,126,,,,
636,40909,Central,Small Market,Colombian,Beans,Coffee,Missouri,Regular,90,100,40,190,85,494,105,32,39,747,66,,,,
573,40909,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Missouri,Decaf,80,90,50,170,78,965,92,24,47,745,45,,,,
417,40909,Central,Small Market,Green Tea,Leaves,Tea,Missouri,Regular,20,40,0,60,34,197,42,12,-4,745,46,,,,
573,40909,Central,Small Market,Caffe Mocha,Beans,Espresso,Missouri,Regular,50,90,70,140,50,821,73,14,48,719,25,,,,
660,40909,Central,Small Market,Decaf Espresso,Beans,Espresso,Missouri,Decaf,50,80,60,130,46,777,68,12,45,719,23,,,,
573,40909,Central,Small Market,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,30,40,0,70,37,261,53,34,-11,719,64,,,,
314,40909,Central,Small Market,Lemon,Leaves,Herbal Tea,Missouri,Decaf,70,10,-20,80,88,525,11,27,-39,716,50,,,,
314,40909,Central,Small Market,Darjeeling,Leaves,Tea,Missouri,Regular,30,40,10,70,35,196,47,11,9,712,38,,,,
573,40909,Central,Small Market,Earl Grey,Leaves,Tea,Missouri,Regular,20,30,-10,50,29,169,36,11,-9,712,45,,,,
740,40909,Central,Major Market,Amaretto,Beans,Coffee,Ohio,Regular,60,80,50,140,60,336,80,19,34,700,46,,,,
614,40909,Central,Major Market,Colombian,Beans,Coffee,Ohio,Regular,60,80,50,140,57,364,83,18,42,699,41,,,,
614,40909,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,60,90,20,150,63,435,87,57,0,699,87,,,,
216,40909,Central,Major Market,Earl Grey,Leaves,Tea,Ohio,Regular,70,100,60,170,84,500,116,26,67,697,49,,,,
614,40909,Central,Major Market,Decaf Espresso,Beans,Espresso,Ohio,Decaf,60,90,40,150,58,338,72,22,16,693,56,,,,
614,40909,Central,Major Market,Caffe Mocha,Beans,Espresso,Ohio,Regular,190,210,140,400,170,1091,171,47,99,693,72,,,,
937,40909,Central,Major Market,Chamomile,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,456,48,8,29,687,19,,,,
740,40909,Central,Major Market,Lemon,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,821,48,8,29,687,19,,,,
567,40909,Central,Major Market,Darjeeling,Leaves,Tea,Ohio,Regular,70,110,60,180,84,651,126,27,68,687,58,,,,
262,40909,Central,Small Market,Amaretto,Beans,Coffee,Wisconsin,Regular,50,70,30,120,54,312,66,20,13,687,53,,,,
262,40909,Central,Small Market,Colombian,Beans,Coffee,Wisconsin,Regular,80,110,20,190,79,551,111,72,9,687,102,,,,
414,40909,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Wisconsin,Decaf,80,100,60,180,77,432,103,25,51,687,52,,,,
262,40909,Central,Small Market,Earl Grey,Leaves,Tea,Wisconsin,Regular,60,90,10,150,75,522,105,68,7,681,98,,,,
262,40909,Central,Small Market,Decaf Espresso,Beans,Espresso,Wisconsin,Decaf,50,70,50,120,48,623,62,15,34,681,28,,,,
414,40909,Central,Small Market,Caffe Mocha,Beans,Espresso,Wisconsin,Regular,80,90,50,170,69,965,81,21,38,681,43,,,,
715,40909,Central,Small Market,Chamomile,Leaves,Herbal Tea,Wisconsin,Decaf,50,100,80,150,67,400,113,20,70,681,43,,,,
715,40909,Central,Small Market,Lemon,Leaves,Herbal Tea,Wisconsin,Decaf,20,50,50,70,33,777,48,9,28,680,20,,,,
608,40909,Central,Small Market,Darjeeling,Leaves,Tea,Wisconsin,Regular,50,80,50,130,61,390,89,19,47,678,42,,,,
475,40909,East,Small Market,Darjeeling,Leaves,Tea,Connecticut,Regular,50,80,60,130,50,821,73,14,47,678,26,,,,
475,40909,East,Small Market,Green Tea,Leaves,Tea,Connecticut,Regular,40,60,40,100,38,777,56,10,35,678,21,,,,
475,40909,East,Small Market,Decaf Espresso,Beans,Espresso,Connecticut,Decaf,50,70,40,120,55,312,75,18,30,678,45,,,,
860,40909,East,Small Market,Caffe Mocha,Beans,Espresso,Connecticut,Regular,70,100,20,170,75,522,105,68,7,678,98,,,,
475,40909,East,Small Market,Colombian,Beans,Coffee,Connecticut,Regular,110,180,130,290,124,961,186,40,115,678,71,,,,
860,40909,East,Small Market,Lemon,Leaves,Herbal Tea,Connecticut,Decaf,60,80,40,140,85,494,105,32,40,678,65,,,,
475,40909,East,Small Market,Mint,Leaves,Herbal Tea,Connecticut,Decaf,50,80,50,130,78,965,92,24,47,678,45,,,,
954,40909,East,Major Market,Darjeeling,Leaves,Tea,Florida,Regular,30,50,40,80,32,821,48,8,28,675,20,,,,
754,40909,East,Major Market,Green Tea,Leaves,Tea,Florida,Regular,30,50,40,80,33,777,48,9,28,675,20,,,,
754,40909,East,Major Market,Decaf Espresso,Beans,Espresso,Florida,Decaf,70,100,60,170,77,432,103,25,50,675,53,,,,
239,40909,East,Major Market,Caffe Mocha,Beans,Espresso,Florida,Regular,70,110,30,180,79,551,111,72,9,675,102,,,,
